,OMB13CBSA,CONTROL_x,CONTROL_y,cases,pop,renter_occupied_units,Percent Violative
0,10420,49.0,9.0,1168,703479,95709,0.1836734693877551
1,10580,54.0,6.0,2860,880381,126087,0.1111111111111111
2,10740,62.0,13.0,1604,918018,115919,0.20967741935483872
3,10900,57.0,5.0,6936,844052,98242,0.08771929824561403
4,11540,21.0,1.0,152,237974,25217,0.047619047619047616
5,12100,8.0,2.0,1510,263670,32538,0.25
6,12260,16.0,2.0,945,601059,70476,0.125
7,12420,89.0,14.0,2844,2227083,311077,0.15730337078651685
8,12540,35.0,11.0,1264,900202,112518,0.3142857142857143
9,12940,32.0,6.0,4448,832993,96620,0.1875
10,13140,29.0,10.0,576,392563,48106,0.3448275862068966
11,15500,68.0,13.0,172,169509,22391,0.19117647058823528
12,15940,32.0,6.0,523,397520,50937,0.1875
13,15980,8.0,1.0,1267,770577,79907,0.125
14,16700,25.0,3.0,779,802122,97591,0.12
15,16860,15.0,3.0,403,565194,70105,0.2
16,17820,33.0,9.0,1155,745791,93756,0.2727272727272727
17,17900,19.0,2.0,2006,838433,100687,0.10526315789473684
18,18140,156.0,30.0,6376,2057873,296624,0.19230769230769232
19,18580,40.0,10.0,154,452534,63960,0.25
20,19340,18.0,2.0,865,379172,45284,0.1111111111111111
21,19660,9.0,1.0,548,553284,63655,0.1111111111111111
22,19780,18.0,1.0,3000,662107,75206,0.05555555555555555
23,20260,18.0,1.0,167,278091,33819,0.05555555555555555
24,21340,42.0,6.0,1340,839238,102506,0.14285714285714285
25,21500,23.0,4.0,124,269728,37637,0.17391304347826086
26,21660,30.0,3.0,60,382067,62345,0.1
27,22420,26.0,2.0,1758,405813,51196,0.07692307692307693
28,23060,16.0,2.0,853,441559,50059,0.125
29,23420,49.0,12.0,885,999101,143680,0.24489795918367346
30,24340,38.0,6.0,2471,832182,86842,0.15789473684210525
31,24860,24.0,4.0,1053,717919,86286,0.16666666666666666
32,25540,17.0,3.0,9757,1385210,173924,0.17647058823529413
33,26180,59.0,21.0,408,974563,137828,0.3559322033898305
34,26900,111.0,23.0,11281,1944968,252442,0.2072072072072072
35,27140,17.0,6.0,1574,548106,64959,0.35294117647058826
36,27260,62.0,12.0,1746,1530304,198068,0.1935483870967742
37,27740,21.0,4.0,82,203649,28029,0.19047619047619047
38,28940,36.0,9.0,409,754419,93767,0.25
39,29460,8.0,3.0,636,724777,72785,0.375
40,29540,7.0,1.0,2223,545724,63913,0.14285714285714285
41,29620,11.0,2.0,855,482269,65595,0.18181818181818182
42,30460,46.0,5.0,512,517056,82633,0.10869565217391304
43,30780,31.0,2.0,850,742384,101655,0.06451612903225806
44,31140,1188.0,160.0,2708,1348384,169860,0.13468013468013468
45,31540,29.0,2.0,514,627905,101091,0.06896551724137931
46,32580,30.0,11.0,389,868707,74912,0.36666666666666664
47,33660,28.0,9.0,1461,413210,54711,0.32142857142857145
48,33700,23.0,2.0,501,550660,73603,0.08695652173913043
49,33860,23.0,3.0,931,373290,51274,0.13043478260869565
50,34900,21.0,4.0,79,137744,17776,0.19047619047619047
51,34980,95.0,21.0,7689,1863108,231881,0.22105263157894736
52,35300,32.0,4.0,22445,1798089,236884,0.125
53,36260,61.0,7.0,525,627818,46226,0.11475409836065574
54,36540,52.0,10.0,2001,949442,123082,0.19230769230769232
55,36740,76.0,13.0,2733,2608147,338116,0.17105263157894737
56,37100,41.0,11.0,679,846006,99672,0.2682926829268293
57,37340,9.0,1.0,328,601942,62063,0.1111111111111111
58,37860,8.0,1.0,811,502629,61222,0.125
59,37900,22.0,3.0,218,366221,42531,0.13636363636363635
60,39300,44.0,7.0,13450,1624578,244561,0.1590909090909091
61,40420,22.0,5.0,1110,336116,43044,0.22727272727272727
62,40900,145.0,15.0,1562,2363730,327587,0.10344827586206896
63,41180,135.0,20.0,7923,2827958,350068,0.14814814814814814
64,41500,19.0,2.0,273,434061,61690,0.10526315789473684
65,41620,61.0,7.0,3753,1274841,130465,0.11475409836065574
66,41740,250.0,43.0,4989,3338330,525090,0.172
67,42060,22.0,1.0,1308,446499,69322,0.045454545454545456
68,42540,55.0,13.0,3618,553885,72964,1.3
69,43340,25.0,4.0,2275,394706,60366,0.07272727272727272
70,43900,24.0,4.0,343,319785,34849,0.16
71,44060,22.0,8.0,386,522798,74150,0.3333333333333333
72,44140,34.0,4.0,5684,697382,99483,0.18181818181818182
73,44700,33.0,15.0,612,762148,100630,0.4411764705882353
74,45060,44.0,8.0,1591,648593,83865,0.24242424242424243
75,45780,55.0,8.0,2058,641816,96431,0.18181818181818182
76,45940,8.0,2.0,5317,367430,46939,0.03636363636363636
77,46060,54.0,6.0,1585,1047279,150781,0.75
78,46140,43.0,7.0,1114,998626,133313,0.12962962962962962
79,46540,13.0,3.0,739,289990,36480,0.06976744186046512
80,47260,177.0,21.0,2274,1727296,248172,1.6153846153846154
81,48620,26.0,4.0,499,640218,83894,0.022598870056497175
82,49660,28.0,3.0,1598,536081,68376,0.11538461538461539
83,12060,781.0,93.0,16650,6001088,760053,0.11907810499359796
84,12580,622.0,88.0,12131,2800053,350557,0.1414790996784566
85,13820,503.0,92.0,1831,1153956,136075,0.18290258449304175
86,14460,764.0,91.0,58725,4873019,697398,0.11910994764397906
87,16980,695.0,88.0,74368,9458539,1243348,0.12661870503597122
88,17140,675.0,97.0,3582,2214154,287195,0.1437037037037037
89,17460,699.0,111.0,3923,2048449,300376,0.15879828326180256
90,19100,1074.0,125.0,12072,7578467,1018331,0.11638733705772812
91,19740,834.0,83.0,12103,2967239,398634,0.09952038369304557
92,19820,612.0,94.0,32762,4319629,527324,0.15359477124183007
93,26420,864.0,165.0,11485,7095000,916168,0.1909722222222222
94,28140,767.0,89.0,3365,2183534,289182,0.11603650586701435
95,29820,1017.0,129.0,4750,2266715,359907,0.12684365781710916
96,31080,1377.0,216.0,35183,13214799,2231584,0.1568627450980392
97,32820,858.0,155.0,4182,1346045,198110,0.18065268065268064
98,33100,860.0,169.0,23732,6166488,851844,0.19651162790697674
99,33340,916.0,143.0,4574,1575179,251106,0.15611353711790393
100,33460,610.0,50.0,6203,3584879,404851,0.08196721311475409
101,35380,799.0,119.0,16941,1249434,180838,0.14893617021276595
102,35620,1112.0,195.0,427656,12508071,1844717,0.17535971223021582
103,36420,766.0,110.0,1677,1408950,185647,0.14360313315926893
104,37980,646.0,114.0,47457,6102434,740042,0.17647058823529413
105,38060,735.0,91.0,6427,4948203,622826,0.12380952380952381
106,38300,574.0,101.0,2870,2317600,302815,0.1759581881533101
107,38900,840.0,97.0,2166,2492412,352297,0.11547619047619048
108,39580,820.0,96.0,1346,1390785,166642,0.11707317073170732
109,40060,693.0,83.0,3091,1370148,171051,0.11976911976911978
110,40140,783.0,107.0,8003,4650631,502841,0.13665389527458494
111,40380,627.0,90.0,2236,1044731,139932,0.14354066985645933
112,41700,809.0,140.0,2174,2550960,299935,0.173053152039555
113,41860,958.0,96.0,6793,4731803,770046,0.10020876826722339
114,41940,955.0,62.0,2394,1990660,281343,0.06492146596858639
115,42660,913.0,70.0,11991,3979845,589194,0.07667031763417305
116,45300,580.0,70.0,2690,3194831,428455,0.1206896551724138
117,47900,893.0,72.0,38766,6207251,794696,0.08062709966405375
